ID,"Source (Author, Title, & Details)",Melville Reference Codes
-,“Abolition of Impressment”,see 359.
-,"""About Niggers”",see 740.
-,The Academy and Literature,see 88.
a.,"Account of a Polar Expedition to Rescue Sir John Franklin (second half), Literary World, no. 284 (10 July 1852).",JM: 512b
*1.,"Adams, William Henry Davenport, The Buried Cities of Campania; or, Pompeii and Herculaneum, Their Destruction, and Their Remains (London: Nelson, 1869). USealts #4]",Unspec: 213
3a.,"Addison, Joseph, Spectator, 69 (1714).",CM: 440c See also 662. 3b. “Adventures in the Pacific—
-,"Dr. Coulter and Herman Melville,” Dublin University Magazine, 28 (August 1846), 127-39. [*MKB]",E: MKB
4,"Aeschylus, trans. Rev. R. Potter, in Classical Library (New York: Harper, (18—]), vol. 13. [*Sealts #147]","MD: 82, 148a, 407, 590; Unspec: 686b"
-,Aesthetic Papers,see 710.
-,Afghanistan,"see 256a, 322a, 601."
-,“The African Character”,see 126.
-,Agassiz,see 577.
2,"Addison, Joseph, Cato: A Tragedy (1713).","MD: 229, 445; MG: 378"
3,"Addison, Joseph, Remarks on Several Parts of Italy (1705).",BT: 603
*5.,"Akenside, Mark, The Pleasures of Imagination (New York: M’Dermut & Arden, 1813). [*Sealts #8]","P: 534c; CM: 254, 534c; Unspec: 488a"
-,Albany Argus,see 51.
-,Albany Evening Journal,"see 263a, 529."
6,"Aleman, Mateo, Guzman de Alfarache (1603; first translated into English in 1622). [Sealts #9]",Unspec: 236
7,"Alger, William Rounseville, The Poetry of the East (Boston, 1856). [*315]",C: 315
*8.,"Alger, William Rounseville, The Solitudes of Nature and of Man; or, The Loneliness of Human Life, [3d ed.] (Boston: Roberts, 1867). [*Sealts #11]","Unspec: 139, 179, 183, 198, 254, 315, 369, 536"
9,"Allen, Ethan, Narrative of Colonel Ethan Allen’s Captivity (1779). IP: 108, 146, 213, 317, 346, 440d, 481e, 559, 685!",
10,"Allen, Ethan, Reason the Only Oracle of Man (1784).",P: 229a?; C: 146
11,"Allen, Joseph, Battles of the British Navy (London, 1852). [*345]",BB: 345
12,"Allston, Washington, Lectures on Art, and Poems (New York: Baker & Scribner, 1850). [*672]",MD: 672; BB: 672
-,Almanac,"see 12a, 702."
12a.,"The American Almanac (Boston, 1844 and 1845). M:576d? American 747b, 753. Magazine","see 649,"
-,American Magazine of Useful and Entertaining Knowledge,see 216a.
12b.,"American Peace Society, “Safety of Pacific Principles” [pamphlet, reprinted in The Book of Peace, ed. George C. Beckwith (Boston, 1845)]. [*440c]",CM: 440c
-,American Review [later renamed American Whig Review],see 749.
*13.,"Ames, Nathaniel, A Mariner’s Sketches, Originally Published in the Manufacturers and Farmers Journal (Providence, 1830). [*490]","R: 212, 491; WJ: 121,129, 133!, 139!, 198, 213, 345a, 416, 437, 440b, 490, 491!, 511a, 543, 662a; MD: 182, 229"
-,Amir Khan,see 193.
14,"Anacreon, trans. Thomas Bourne, in Classical Library (New York: Harper, [18—]), vol. 36. [*Sealts #147]",F: 84; CM: 254
-,“Ancient Peru”,"see 665. Anderson, Robert, Poets of Great"
-,Britain,see 663.
*15.,"Andrews, James, Floral Tableauy (London: Bogue, 1846). [*Sealts #13]",M: 226; Unspec: 213
16,"Anthon, Charles, A Classical Dictionary (New York: Harper & Brothers, 1843). [*226]","M: 226, 345a; Unspec: 489, 686b"
16a.,"Anthon, Charles, ed., Xenophon’s Memorabilia of Socrates (New York, 1848). [*686b] M:686b See also 580a. The Anti-Slavery Picknick",see 126.
17,"Antoninus, Marcus [Aurelius], The Commentaries of the Emperor Marcus Antoninus, trans. James Thomson (London, 1747). [*143]",M: 143
-,Antoninus Pius,see 160a.
18,"Arabian Nights’ Entertainments, trans. Lane (London: Charles Knight, 1841). [*333] FI: 212, 333;","F2: 212, 333, 440e; T: 488c; M: 29, 333!, 488; R: 333; CM:"
-,Arabian Nights' Entertainments,see also 598.
19,"Aratus, Phaenomena.",Unspec: 146
*20.,"Arcturus, a Journal of Books and Opinion (New York, 1841- 42), vol. 1 (1841). [*Sealts #14]",M: 144
*21.,"Arichandra, the Martyr of Truth: a Tamil Drama, trans. Mutu Coomara Swamy (London: Smith, Elder, 1863). [*Sealts #14.1]","BB: 632, 662"
-,The Aristocracy of England,see 375.
22,"Aristotle, Poetics.",MD: 286; BP: 556; Unspec: 708
23,"Aristotle, The Politics and Economics of Aristotle, Translated, with Notes .. . and Analyses. To which are Prefixed, An Introductory Essay and a Life of Aristotle, by Dr. Gillies. By Edward Walford (London: H. G. Bohn, 1853). [*254]",CM: 254!
*23a.,"Aristotle, Aristotle's Treatise on Rhetoric, Literally Translated, with Hobbes’ Analysis, Examination Questions, and an Appendix Containing the Greek Definitions. Also, The Poetic of Aristotle, Literally Translated, with a Selection of Notes, an Analysis, and Questions. By Theodore Buckley (London: Bell & Daldy, 1872). [*Sealts #14b] TIM,: 488a",
24,"Arnold, Sir Edwin, The Poems (New York: Hurst, [1879]). [*Sealts #15]",WW: 333
-,"Arnold, Matthew.",C: 260; BB: 345; Unspec: 146
-,"Arnold, Matthew, Culture and Anarchy",see 25a.
*25.,"Arnold, Matthew, Essays in Criticism (Boston: Ticknor & Fields, 1865). [*Sealts #17]","C: 143, 540, 637a, 667; BB: 345; Unspec: 139, 146, 179, 183, 198, 200, 213, 275, 315, 333, 488a, 504a, 580, 705a"
25a.,"Arnold, Matthew, essays in Every Saturday: A Journal of Choice Reading Selected from Foreign Current Literature [Every Saturday was assimilated by Littell’s Living Age in 1874], especially series entitled “Culture and Its Enemies’’ and “Anarchy and Authority” (July 1867-Aug. 1868) [this series was to become Matthew Arnold’s Culture and Anarchy). [*637a] C:637a",
25b.,"Arnold, Matthew, essays in Littell’s Living Age, especially “Literature and Dogma” reprint- ed in Littell’s Living Age, 110 (26 Aug. 1871), 515-29. [*637a]",C: 637a; Unspec: 637a
*26.,"Arnold, Matthew, Literature & Dogma; an Essay towards a Better Apprehension of the Bible (New York: Macmillan, 1881). [*Sealts #18]",Unspec: 146 See also 25b.
*27.,"Arnold, Matthew, Mixed Essays, Irish Essays, and Others (New York: Macmillan, 1883). [*Sealts #19]","BB: 365a?; Unspec: 139, 146, 200, 504a"
*28.,"Arnold, Matthew, New Poems (Boston: Ticknor &, Fields, 1867). [*Sealts #20]","C: 179, 211, 260!, 315, 319, 461b, 479c, 499a, 504a, 512b, 540, 652; JM: 489; TIM: 179, 441b; BB: 211; Unspec: 139, 143, 229, 686b, 705a"
*29.,"Arnold, Matthew, Poems ... A New and Complete Edition (Boston: Ticknor & Fields, 1856). (*Sealts #21]","C: 260!, 315; Unspec: 580, 686b, 705a 29a. “Arrest of the Confidence"
-,"Man,’’ New York Herald (8 July 1849), 2.","CM: 479a, 504b, 510b!, 686a 30. “Articles of War” [passed by"
-,"the Sixth Congress on 23 April 1800], United States Statutes at Large, vol. 2, ch. xxxiii. [*490]",WJ: 490
-,Atlantic Monthly,see 329.
-,Atlas,see 99.
-,Sources 25b-37,
31,"Augustine, St., of Hippo, The Confessions (printed in Latin, 1470; in English, 1620).",MD: 229?; CM: 254; Unspec: 143
-,"Aurelius, Marcus",see 17.
32,"Bacon, Francis, Essays or Counsels, Civil and Moral in The Works of Francis Bacon (Philadelphia: Hart, 1851). [*519]","P: 181, 519"
33,"Bacon, Francis, The Wisdom of the Ancients in The Works of Francis Bacon (Philadelphia, 1844). [*143]","M: 143; MD: 143; P: 143, 181; CM: 254; C: 143"
34,"Bailey, Philip James, Festus (1839).",MD: 229; Unspec: 303
35,"Baker, Dr. Louis A., Harry Martingale; or, Adventures of a Whaleman in the Pacific Ocean (Boston, 1848). [*182]","MD: 96?, 182?"
-,"Balzac, Honore de.",BB: 247; Unspec: 92
*36.,"Balzac, Honore de, Bureaucracy: or, A Civil Service Beformer [trans. Katharine Prescott Wormeley] (Boston: Roberts, 1889). [*Sealts #22]","Unspec: 265, 274"
