Poem,Total Lines,Avg Line Length,Chaos (Variance),Punc Density
03--misgivings.xml,26,3.58,7.71,0.215
08--balls-bluff.xml,36,3.78,7.45,0.221
07--lyon.xml,121,3.21,6.87,0.322
22--stonewall-jackson.xml,20,4.95,6.85,0.212
13--in-the-turret.xml,77,3.6,6.11,0.278
19--the-victor-of-antietam.xml,78,4.5,5.87,0.282
34--the-college-colonel.xml,38,4.89,5.83,0.242
71--the-returned-volunteer-to-his-rifle.xml,10,5.7,5.81,0.316
41--the-fall-of-richmond.xml,24,5.08,5.74,0.156
25--the-house-top.xml,31,6.13,5.53,0.237
24--gettysburg.xml,39,5.64,5.2,0.173
23--stonewall-jackson-ascribed-to-a-virginian.xml,64,5.27,5.2,0.226
"20--the-battle-of-stone-river,-tennessee.xml",47,4.79,5.02,0.164
21--running-the-batteries.xml,84,5.92,4.98,0.233
04--the-conflict-of-convictions.xml,112,2.92,4.97,0.229
55--america.xml,56,5.45,4.78,0.207
37--at-the-cannons-mouth.xml,34,5.76,4.71,0.199
42--the-surrender-at-appomattox.xml,21,4.38,4.71,0.239
12--the-cumberland.xml,65,2.66,4.65,0.266
09--duponts-round-fight.xml,13,4.46,4.4,0.224
27--chattanooga.xml,78,5.46,4.3,0.225
18--malvern-hill.xml,35,4.29,3.98,0.233
15--a-utilitarian-view-of-the-monitors-fight.xml,51,3.0,3.96,0.268
33--in-the-prison-pen.xml,23,4.87,3.94,0.214
28--the-armies-of-the-wilderness.xml,248,5.7,3.94,0.232
06--the-march-into-virginia.xml,66,2.82,3.94,0.22
17--the-battle-for-the-mississippi.xml,62,5.37,3.91,0.219
74--a-meditation.xml,69,6.61,3.89,0.195
50--a-grave-near-petersberg-virginia.xml,17,5.59,3.77,0.232
16--shiloh.xml,31,3.03,3.71,0.202
35--the-eagle-of-the-blue.xml,26,5.27,3.66,0.182
40--the-frenzy-in-the-wake.xml,34,5.21,3.63,0.22
11--donelson.xml,127,5.52,3.54,0.297
53--magnanimity-baffled.xml,17,5.71,3.38,0.433
10--the-stone-fleet.xml,68,2.63,3.26,0.313
05--apathy-and-enthusiasm.xml,76,2.76,3.15,0.176
59--on-the-men-of-maine.xml,11,6.36,3.14,0.257
69--commemorative-of-a-naval-victory.xml,28,5.93,3.07,0.175
54--on-the-slain-collegians.xml,62,6.03,3.06,0.193
31--the-battle-for-the-bay.xml,115,6.11,3.0,0.222
14--the-temeraire.xml,118,2.53,2.94,0.289
73--lee-in-the-capitol.xml,217,6.38,2.64,0.234
26--look-out-mountain.xml,26,5.0,2.62,0.192
38--the-march-to-the-sea.xml,104,4.53,2.4,0.187
72--the-scout-toward-aldie.xml,793,6.36,2.37,0.345
57--inscription.xml,11,6.45,2.25,0.169
32--sheridan-at-cedar-creek.xml,42,4.67,2.22,0.224
58--the-fortitude-of-the-north.xml,9,6.33,2.22,0.158
36--a-dirge-for-mcpherson.xml,24,4.04,2.21,0.32
46--rebel-color-bearers-at-shiloh.xml,36,5.89,2.15,0.208
65--on-shermans-men.xml,9,6.56,2.02,0.169
30--the-swamp-angel.xml,48,6.38,1.94,0.186
45--the-coming-storm.xml,16,5.75,1.94,0.196
29--on-the-photograph-of-a-corps-commander.xml,25,5.8,1.92,0.2
49--the-released-rebel-prisoner.xml,41,5.66,1.88,0.241
52--the-apparition.xml,15,5.6,1.84,0.298
51--formerly-a-slave.xml,12,5.83,1.81,0.171
63--on-the-slain-at-chickamauga.xml,15,6.2,1.63,0.183
64--an-uninscribed-monument.xml,15,6.0,1.6,0.244
47--the-muster.xml,32,4.5,1.44,0.208
68--on-a-natural-monument.xml,25,6.32,1.42,0.203
67--a-requiem.xml,26,6.46,1.4,0.196
70--presentation-to-the-authorities.xml,16,6.12,1.11,0.184
43--a-canticle.xml,62,4.77,1.11,0.162
44--the-martyr.xml,34,5.44,1.07,0.162
60--an-epitaph.xml,8,6.25,0.94,0.18
56--on-the-home-guards.xml,7,6.43,0.82,0.178
48--aurora-borealis.xml,21,3.81,0.63,0.3
62--the-mound-by-the-lake.xml,11,5.55,0.61,0.23
66--on-the-grave.xml,5,7.2,0.56,0.194
61--inscription-for-maryes-heights.xml,7,5.71,0.49,0.175
dedication.xml,1,5.0,0.0,0.0
75--supplement.xml,1,2.0,0.0,0.5
